Legacy_OrganizationName,Legacy_OrganizationID,Legacy_ProgramName,Legacy_ProgramID,Clarity_AgencyID,Clarity_AgencyName,Clarity_ProgramID,Clarity_ProgramName
Miami Valley Community Action Partnership,365,Preble - Community Action Partnership of Greater Dayton - HCRP HP,945,77,Miami Valley Community Action Partnership,236,Preble - Community Action Partnership of Greater Dayton - HCRP HP
Miami Valley Community Action Partnership,365,Greene - Miami Valley Community Action Partnership - HCRP RRH,950,77,Miami Valley Community Action Partnership,240,Greene - Miami Valley Community Action Partnership - HCRP RRH
Miami Valley Community Action Partnership,365,Greene - Miami Valley Community Action Partnership - HCRP HP,951,77,Miami Valley Community Action Partnership,241,Greene - Miami Valley Community Action Partnership - HCRP HP
Ross County Community Action Commission,370,Ross - Ross County CAC - Men's Shelter - ES Overflow,2152,78,Ross County Community Action Commission,771,Ross - Ross County CAC - Men's Shelter - ES Overflow
Ross County Community Action Commission,370,Ross - Ross County CAC - Winter Shelter - ES,2440,78,Ross County Community Action Commission,996,Ross - Ross County CAC - Winter Shelter - ES
Ross County Community Action Commission,370,Ross - Ross County CAC - Men's Shelter - ES,755,78,Ross County Community Action Commission,162,Ross - Ross County CAC - Men's Shelter - ES
Ross County Community Action Commission,370,Ross - Ross County CAC - HCRP RRH,978,78,Ross County Community Action Commission,266,Ross - Ross County CAC - HCRP RRH
Ross County Community Action Commission,370,Ross - CAC of Fayette County - HCRP HP,979,78,Ross County Community Action Commission,267,Ross - CAC of Fayette County - HCRP HP
Pike - CAC of Pike County,383,Pike - CAC of Pike County - Targeted RRH,2080,79,Pike - CAC of Pike County,725,Pike - CAC of Pike County - Targeted RRH
Pike - CAC of Pike County,383,Pike - CAC of Pike County - ESG-CV HP,2222,79,Pike - CAC of Pike County,839,Pike - CAC of Pike County - ESG-CV HP
Pike - CAC of Pike County,383,Pike - CAC of Pike County - ESG-CV RRH,2223,79,Pike - CAC of Pike County,840,Pike - CAC of Pike County - ESG-CV RRH
Pike - CAC of Pike County,383,Pike - CAC of Pike County - HCRP RRH,982,79,Pike - CAC of Pike County,269,Pike - CAC of Pike County - HCRP RRH
Pike - CAC of Pike County,383,Pike - CAC of Pike County - HCRP HP,983,79,Pike - CAC of Pike County,270,Pike - CAC of Pike County - HCRP HP
Pike - CAC of Pike County,383,Lawrence - Ironton Lawrence CAO - HCRP RRH,986,79,Pike - CAC of Pike County,273,Lawrence - Ironton Lawrence CAO - HCRP RRH
Pike - CAC of Pike County,383,Lawrence - Ironton Lawrence CAO - HCRP HP,987,79,Pike - CAC of Pike County,275,Lawrence - Ironton Lawrence CAO - HCRP HP
Coleman Professional Services,4,Trumbull - City of Warren - Coleman Professional - Washington St - tracking only,1014,2,Coleman Professional Services,299,Trumbull - City of Warren - Coleman Professional - Washington St - tracking only
Coleman Professional Services,4,Jefferson - Coleman Professional Services - Beacon House Drop-In Center - SO,1697,2,Coleman Professional Services,495,Jefferson - Coleman Professional Services - Beacon House Drop-In Center - SO
Coleman Professional Services,4,zzPortage - Coleman Professional Services - Targeted RRH,1880,2,Coleman Professional Services,576,zzPortage - Coleman Professional Services - Targeted RRH
Coleman Professional Services,4,Jefferson - Coleman Professional Services - Beacon House - PSH,2411,2,Coleman Professional Services,973,Jefferson - Coleman Professional Services - Beacon House - PSH
Coleman Professional Services,4,zzPortage - Coleman Professional Services - PSH,45,2,Coleman Professional Services,11,zzPortage - Coleman Professional Services - PSH
Coleman Professional Services,4,Portage - Coleman Professional Services - tracking only,50,2,Coleman Professional Services,12,Portage - Coleman Professional Services - tracking only
Coleman Professional Services,4,zzJefferson - Coleman Professional Services - Beacon House Safe Haven - SH,559,2,Coleman Professional Services,125,zzJefferson - Coleman Professional Services - Beacon House Safe Haven - SH
Coleman Professional Services,4,Portage - Coleman Professional Services - PSH,714,2,Coleman Professional Services,135,Portage - Coleman Professional Services - PSH
Coleman Professional Services,4,Jefferson - Coleman Professional Services - Shelter Plus Care - PSH,746,2,Coleman Professional Services,155,Jefferson - Coleman Professional Services - Shelter Plus Care - PSH
Coleman Professional Services,4,zzJefferson - Coleman Professional Services - Shelter Plus Care 2 - PSH,747,2,Coleman Professional Services,156,zzJefferson - Coleman Professional Services - Shelter Plus Care 2 - PSH
Coleman Professional Services,4,Portage - Coleman Professional Services - HCRP RRH,902,2,Coleman Professional Services,206,Portage - Coleman Professional Services - HCRP RRH
Tuscarawas ADAMHS Board,401,Tuscarawas - ADAMHS Board - Recovery Begins at Home - PSH,1787,80,Tuscarawas ADAMHS Board,533,Tuscarawas - ADAMHS Board - Recovery Begins at Home - PSH
Tuscarawas ADAMHS Board,401,Tuscarawas - ADAMHS Board Shelter Plus Care TRA - PSH,402,80,Tuscarawas ADAMHS Board,100,Tuscarawas - ADAMHS Board Shelter Plus Care TRA - PSH
Ross County Coalition Against DV,403,Ross - Ross County Coalition Against DV - Phoenix House - ES - DV,404,81,Ross County Coalition Against DV,101,Ross - Ross County Coalition Against DV - Phoenix House - ES - DV
Catholic Charities of Ashtabula County,407,Ashtabula - Catholic Charities of Ashtabula County - Hotel/Motel Overflow Vouchers - ES,1581,82,Catholic Charities of Ashtabula County,462,Ashtabula - Catholic Charities of Ashtabula County - Hotel/Motel Overflow Vouchers - ES
Catholic Charities of Ashtabula County,407,Ashtabula - Catholic Charities of Ashtabula County - Youth Targeted RRH,1930,82,Catholic Charities of Ashtabula County,609,Ashtabula - Catholic Charities of Ashtabula County - Youth Targeted RRH
Catholic Charities of Ashtabula County,407,Ashtabula - Catholic Charities of Ashtabula County - ESG-CV HP,2243,82,Catholic Charities of Ashtabula County,860,Ashtabula - Catholic Charities of Ashtabula County - ESG-CV HP
Catholic Charities of Ashtabula County,407,Ashtabula - Catholic Charities of Ashtabula County - TANF HP,2405,82,Catholic Charities of Ashtabula County,967,Ashtabula - Catholic Charities of Ashtabula County - TANF HP
Catholic Charities of Ashtabula County,407,Ashtabula - Catholic Charities of Ashtabula County - HCRP RRH,873,82,Catholic Charities of Ashtabula County,188,Ashtabula - Catholic Charities of Ashtabula County - HCRP RRH
Catholic Charities of Ashtabula County,407,Ashtabula - Catholic Charities of Ashtabula County - HCRP HP,973,82,Catholic Charities of Ashtabula County,262,Ashtabula - Catholic Charities of Ashtabula County - HCRP HP
Allen Metropolitan Housing Authority,412,Allen - Allen MHA - Allen Shelter Plus Care Vouchers - PSH,413,83,Allen Metropolitan Housing Authority,103,Allen - Allen MHA - Allen Shelter Plus Care Vouchers - PSH
Hocking Metropolitan Housing Authority,417,Hocking - Hocking MHA - Region 17 Tenant Based - PSH,1757,84,Hocking Metropolitan Housing Authority,516,Hocking - Hocking MHA - Region 17 Tenant Based - PSH
Hocking Metropolitan Housing Authority,417,Hocking - Hocking MHA  - Hocking Shelter Plus Care - PSH,418,84,Hocking Metropolitan Housing Authority,104,Hocking - Hocking MHA  - Hocking Shelter Plus Care - PSH
Columbiana County Mental Health Clinic,5,Columbiana - Columbiana County MHC - Kendall Home - ES,1012,3,Columbiana County Mental Health Clinic,297,Columbiana - Columbiana County MHC - Kendall Home - ES
Columbiana County Mental Health Clinic,5,Columbiana - Columbiana MHC - Hand in Hand Outreach House - ES,1141,3,Columbiana County Mental Health Clinic,337,Columbiana - Columbiana MHC - Hand in Hand Outreach House - ES
Columbiana County Mental Health Clinic,5,zzColumbiana - Columbiana County MHC - PATH Street Outreach,1361,3,Columbiana County Mental Health Clinic,428,zzColumbiana - Columbiana County MHC - PATH Street Outreach
Columbiana County Mental Health Clinic,5,zzColumbiana - Columbiana County MHC - PATH Services Only,1362,3,Columbiana County Mental Health Clinic,429,zzColumbiana - Columbiana County MHC - PATH Services Only
Columbiana County Mental Health Clinic,5,Columbiana - Columbiana County MHC - Hornsby House - PSH,1565,3,Columbiana County Mental Health Clinic,450,Columbiana - Columbiana County MHC - Hornsby House - PSH
Columbiana County Mental Health Clinic,5,Columbiana - Columbiana County MHC - Permanent Housing for persons with disabilities - PSH,34,3,Columbiana County Mental Health Clinic,10,Columbiana - Columbiana County MHC - Permanent Housing for persons with disabilities - PSH
Columbiana County Mental Health Clinic,5,Columbiana - Columbiana County MHC - Adult Youth Mentor Program - PSH,422,3,Columbiana County Mental Health Clinic,105,Columbiana - Columbiana County MHC - Adult Youth Mentor Program - PSH
Ashtabula County Community Housing Development Organization,517,Ashtabula - Ashtabula County CHDO - HCRP RRH,1338,85,Ashtabula County Community Housing Development Organization,414,Ashtabula - Ashtabula County CHDO - HCRP RRH
Ashtabula County Community Housing Development Organization,517,Ashtabula - Ashtabula County CHDO - HCRP HP,1339,85,Ashtabula County Community Housing Development Organization,416,Ashtabula - Ashtabula County CHDO - HCRP HP
Ashtabula County Community Housing Development Organization,517,Ashtabula - Ashtabula County CHDO - HRCP Targeted RRH,2050,85,Ashtabula County Community Housing Development Organization,714,Ashtabula - Ashtabula County CHDO - HRCP Targeted RRH
Ashtabula County Community Housing Development Organization,517,Ashtabula - Ashtabula County CHDO - OHFA ERA - not homeless dedicated,2165,85,Ashtabula County Community Housing Development Organization,784,Ashtabula - Ashtabula County CHDO - OHFA ERA - not homeless dedicated
Ashtabula County Community Housing Development Organization,517,Ashtabula - Ashtabula County CHDO - TANF RRH,2214,85,Ashtabula County Community Housing Development Organization,831,Ashtabula - Ashtabula County CHDO - TANF RRH
Family Promise of Lorain County,519,zzLorain - Family Promise of Lorain County - IHN - ES,522,86,Family Promise of Lorain County,114,zzLorain - Family Promise of Lorain County - IHN - ES
Warren Metropolitan Housing Authority,52,zzWarren - Warren MHA - Shelter Plus Care 2 - PSH,1323,10,Warren Metropolitan Housing Authority,404,zzWarren - Warren MHA - Shelter Plus Care 2 - PSH
Warren Metropolitan Housing Authority,52,Warren - Warren MHA - HCRP RRH,1852,10,Warren Metropolitan Housing Authority,550,Warren - Warren MHA - HCRP RRH
Warren Metropolitan Housing Authority,52,Warren - Warren MHA - Region 14 Targeted RRH,1876,10,Warren Metropolitan Housing Authority,572,Warren - Warren MHA - Region 14 Targeted RRH
Warren Metropolitan Housing Authority,52,Warren - Warren MHA - Shelter Plus Care - PSH,208,10,Warren Metropolitan Housing Authority,64,Warren - Warren MHA - Shelter Plus Care - PSH
Warren Metropolitan Housing Authority,52,Warren - Warren MHA - ESG-CV RRH,2239,10,Warren Metropolitan Housing Authority,856,Warren - Warren MHA - ESG-CV RRH
Warren Metropolitan Housing Authority,52,Warren - Warren MHA - ESG-CV HP,2240,10,Warren Metropolitan Housing Authority,857,Warren - Warren MHA - ESG-CV HP
Warren Metropolitan Housing Authority,52,Warren - Warren MHA - Transitions - TH,56,10,Warren Metropolitan Housing Authority,13,Warren - Warren MHA - Transitions - TH
Warren Metropolitan Housing Authority,52,Warren - Warren MHA - HCRP HP,932,10,Warren Metropolitan Housing Authority,228,Warren - Warren MHA - HCRP HP
Family Promise of Lima-Allen County,520,Allen - Family Promise of Lima-Allen County - ES,523,87,Family Promise of Lima-Allen County,115,Allen - Family Promise of Lima-Allen County - ES
Interfaith Hospitality Network of Greene County,521,Greene - IHN of Greene County - Churches - ES Overflow,2192,88,Interfaith Hospitality Network of Greene County,811,Greene - IHN of Greene County - Churches - ES Overflow
Interfaith Hospitality Network of Greene County,521,Greene - IHN of Greene County - Churches - ES,731,88,Interfaith Hospitality Network of Greene County,149,Greene - IHN of Greene County - Churches - ES
Medina Metropolitan Housing Authority,526,Medina - Medina MHA - OHFA ERA - not homeless dedicated,2148,89,Medina Metropolitan Housing Authority,767,Medina - Medina MHA - OHFA ERA - not homeless dedicated
Medina Metropolitan Housing Authority,526,Medina - Medina MHA - ESG-CV RRH,2205,89,Medina Metropolitan Housing Authority,823,Medina - Medina MHA - ESG-CV RRH
Medina Metropolitan Housing Authority,526,Medina - Medina MHA - Medina County TRA - PSH,528,89,Medina Metropolitan Housing Authority,116,Medina - Medina MHA - Medina County TRA - PSH
Medina Metropolitan Housing Authority,526,Medina - Medina MHA - HCRP RRH,871,89,Medina Metropolitan Housing Authority,186,Medina - Medina MHA - HCRP RRH
Medina Metropolitan Housing Authority,526,Medina - Medina MHA - HCRP HP,961,89,Medina Metropolitan Housing Authority,251,Medina - Medina MHA - HCRP HP
"Northwestern Ohio Community Action Commission, Inc.",53,Defiance - Northwestern Ohio CAC - Richland Place - PH,115,11,"Northwestern Ohio Community Action Commission, Inc.",27,Defiance - Northwestern Ohio CAC - Richland Place - PH
"Northwestern Ohio Community Action Commission, Inc.",53,Defiance - Northwestern Ohio CAC - The PATH Center - ES,116,11,"Northwestern Ohio Community Action Commission, Inc.",28,Defiance - Northwestern Ohio CAC - The PATH Center - ES
"Northwestern Ohio Community Action Commission, Inc.",53,Defiance - Northwestern Ohio CAC - PSH,1740,11,"Northwestern Ohio Community Action Commission, Inc.",510,Defiance - Northwestern Ohio CAC - PSH
"Northwestern Ohio Community Action Commission, Inc.",53,Defiance - Northwestern Ohio CAC - The PATH Center - ES Overflow,2127,11,"Northwestern Ohio Community Action Commission, Inc.",747,Defiance - Northwestern Ohio CAC - The PATH Center - ES Overflow
"Northwestern Ohio Community Action Commission, Inc.",53,Defiance - Northwestern Ohio CAC - ESG-CV RRH,2262,11,"Northwestern Ohio Community Action Commission, Inc.",879,Defiance - Northwestern Ohio CAC - ESG-CV RRH
"Northwestern Ohio Community Action Commission, Inc.",53,Defiance - Northwestern Ohio CAC - Targeted RRH,2271,11,"Northwestern Ohio Community Action Commission, Inc.",888,Defiance - Northwestern Ohio CAC - Targeted RRH
"Northwestern Ohio Community Action Commission, Inc.",53,Defiance - Northwestern Ohio CAC - TANF RRH,2310,11,"Northwestern Ohio Community Action Commission, Inc.",926,Defiance - Northwestern Ohio CAC - TANF RRH
"Northwestern Ohio Community Action Commission, Inc.",53,Defiance - Northwestern Ohio CAC - HCRP RRH,933,11,"Northwestern Ohio Community Action Commission, Inc.",229,Defiance - Northwestern Ohio CAC - HCRP RRH
"Northwestern Ohio Community Action Commission, Inc.",53,Defiance - Northwestern Ohio CAC - HCRP HP,934,11,"Northwestern Ohio Community Action Commission, Inc.",230,Defiance - Northwestern Ohio CAC - HCRP HP
Appleseed Community Mental Health Center,54,Ashland - Appleseed Community Mental Health Center - Safe Haven DV Shelter - ES - DV,1114,12,Appleseed Community Mental Health Center,325,Ashland - Appleseed Community Mental Health Center - Safe Haven DV Shelter - ES - DV
Appleseed Community Mental Health Center,54,Ashland - Appleseed CMHC - Beginning Anew - PSH,1347,12,Appleseed Community Mental Health Center,417,Ashland - Appleseed CMHC - Beginning Anew - PSH
Appleseed Community Mental Health Center,54,zzAshland - Appleseed CMHC - Keys to Transition - TH,144,12,Appleseed Community Mental Health Center,43,zzAshland - Appleseed CMHC - Keys to Transition - TH
Appleseed Community Mental Health Center,54,Ashland - Appleseed Rapid Rehousing - RRH,1637,12,Appleseed Community Mental Health Center,470,Ashland - Appleseed Rapid Rehousing - RRH
Appleseed Community Mental Health Center,54,zzAshland - Appleseed CMHC - Targeted RRH,1890,12,Appleseed Community Mental Health Center,585,zzAshland - Appleseed CMHC - Targeted RRH
Appleseed Community Mental Health Center,54,Ashland - Appleseed CMHC - OHFA ERA - not homeless dedicated,2141,12,Appleseed Community Mental Health Center,760,Ashland - Appleseed CMHC - OHFA ERA - not homeless dedicated
Appleseed Community Mental Health Center,54,zzAshland - Pump House Ministries - ES,460,12,Appleseed Community Mental Health Center,110,zzAshland - Pump House Ministries - ES
Appleseed Community Mental Health Center,54,Ashland - Appleseed CMHC - HCRP RRH,870,12,Appleseed Community Mental Health Center,185,Ashland - Appleseed CMHC - HCRP RRH
Appleseed Community Mental Health Center,54,Ashland - Appleseed CMHC - HCRP HP,960,12,Appleseed Community Mental Health Center,250,Ashland - Appleseed CMHC - HCRP HP
Community Action Agency of Columbiana County,55,Columbiana - Community Action Agency of Columbiana - BoS - SSVF RRH,1094,13,Community Action Agency of Columbiana County,317,Columbiana - Community Action Agency of Columbiana - BoS - SSVF RRH
Community Action Agency of Columbiana County,55,Columbiana - Community Action Agency of Columbiana - BoS - SSVF HP,1181,13,Community Action Agency of Columbiana County,353,Columbiana - Community Action Agency of Columbiana - BoS - SSVF HP
Community Action Agency of Columbiana County,55,Mahoning - Community Action Agency of Columbiana - SSVF HP,1330,13,Community Action Agency of Columbiana County,408,Mahoning - Community Action Agency of Columbiana - SSVF HP
Community Action Agency of Columbiana County,55,Mahoning - Community Action Agency of Columbiana - SSVF RRH,1331,13,Community Action Agency of Columbiana County,409,Mahoning - Community Action Agency of Columbiana - SSVF RRH
Community Action Agency of Columbiana County,55,Columbiana - Community Action Agency of Columbiana - Targeted RRH,2039,13,Community Action Agency of Columbiana County,704,Columbiana - Community Action Agency of Columbiana - Targeted RRH
Community Action Agency of Columbiana County,55,Columbiana - Community Action Agency of Columbiana - ESG-CV HP,2247,13,Community Action Agency of Columbiana County,864,Columbiana - Community Action Agency of Columbiana - ESG-CV HP
Community Action Agency of Columbiana County,55,Columbiana - Community Action Agency of Columbiana - ESG-CV RRH,2248,13,Community Action Agency of Columbiana County,865,Columbiana - Community Action Agency of Columbiana - ESG-CV RRH
Community Action Agency of Columbiana County,55,Columbiana - Community Action Agency of Columbiana - TANF HP,2272,13,Community Action Agency of Columbiana County,889,Columbiana - Community Action Agency of Columbiana - TANF HP
Community Action Agency of Columbiana County,55,Columbiana - Community Action Agency of Columbiana - ODH Youth RRH,2425,13,Community Action Agency of Columbiana County,985,Columbiana - Community Action Agency of Columbiana - ODH Youth RRH
Community Action Agency of Columbiana County,55,Columbiana - Community Action Agency of Columbiana - ODH Youth HP,2426,13,Community Action Agency of Columbiana County,988,Columbiana - Community Action Agency of Columbiana - ODH Youth HP
Community Action Agency of Columbiana County,55,zzColumbiana - Community Action Agency of Columbiana - Another Chance - TH,81,13,Community Action Agency of Columbiana County,19,zzColumbiana - Community Action Agency of Columbiana - Another Chance - TH
Community Action Agency of Columbiana County,55,Columbiana - Columbiana County Community Action Agency - ES,83,13,Community Action Agency of Columbiana County,20,Columbiana - Columbiana County Community Action Agency - ES
Community Action Agency of Columbiana County,55,Columbiana - Community Action Agency of Columbiana - HCRP RRH,878,13,Community Action Agency of Columbiana County,191,Columbiana - Community Action Agency of Columbiana - HCRP RRH
Community Action Agency of Columbiana County,55,Columbiana - Community Action Agency of Columbiana - HCRP HP,879,13,Community Action Agency of Columbiana County,192,Columbiana - Community Action Agency of Columbiana - HCRP HP
"The YWCA of Van Wert County, Ohio",560,Van Wert - YWCA of Van Wert County - PSH,1692,90,"The YWCA of Van Wert County, Ohio",492,Van Wert - YWCA of Van Wert County - PSH
"The YWCA of Van Wert County, Ohio",560,zzVan Wert - YWCA of Van Wert County - Transitional Living Program - TH,561,90,"The YWCA of Van Wert County, Ohio",126,zzVan Wert - YWCA of Van Wert County - Transitional Living Program - TH
Mental Health & Recovery Board of Union County,58,zzUnion - MHRB of Union County - Homeward Bound - TH,59,14,Mental Health & Recovery Board of Union County,14,zzUnion - MHRB of Union County - Homeward Bound - TH
Mental Health & Recovery Board of Union County,58,Union - Mental Health Recovery Board - Homeward Bound I'm Home - PSH,61,14,Mental Health & Recovery Board of Union County,15,Union - Mental Health Recovery Board - Homeward Bound I'm Home - PSH
Mental Health & Recovery Board of Union County,58,Union - Mental Health Recovery Board - Union County Shelter Plus Care - PSH,715,14,Mental Health & Recovery Board of Union County,137,Union - Mental Health Recovery Board - Union County Shelter Plus Care - PSH
G.M.N. TriCounty Community Action Committee,592,zz@@Noble - G.M.N. TriCounty CAC - Targeted RRH,1881,91,G.M.N. TriCounty Community Action Committee,577,zz@@Noble - G.M.N. TriCounty CAC - Targeted RRH
G.M.N. TriCounty Community Action Committee,592,Noble - G.M.N. TriCounty CAC - OHFA ERA - not homeless dedicated,2184,91,G.M.N. TriCounty Community Action Committee,803,Noble - G.M.N. TriCounty CAC - OHFA ERA - not homeless dedicated
G.M.N. TriCounty Community Action Committee,592,Noble - G.M.N. TriCounty CAC - ESG-CV HP,2235,91,G.M.N. TriCounty Community Action Committee,852,Noble - G.M.N. TriCounty CAC - ESG-CV HP
G.M.N. TriCounty Community Action Committee,592,Noble - G.M.N. TriCounty CAC - HCRP RRH,886,91,G.M.N. TriCounty Community Action Committee,197,Noble - G.M.N. TriCounty CAC - HCRP RRH
G.M.N. TriCounty Community Action Committee,592,Noble - G.M.N. TriCounty CAC - HCRP HP,887,91,G.M.N. TriCounty Community Action Committee,198,Noble - G.M.N. TriCounty CAC - HCRP HP
LSS Faith Mission of Fairfield County,6,Fairfield - LSS of Fairfield County - SSVF HP,1356,4,LSS Faith Mission of Fairfield County,424,Fairfield - LSS of Fairfield County - SSVF HP
LSS Faith Mission of Fairfield County,6,Fairfield - LSS of Fairfield County - SSVF RRH,1357,4,LSS Faith Mission of Fairfield County,425,Fairfield - LSS of Fairfield County - SSVF RRH
LSS Faith Mission of Fairfield County,6,zzFairfield - LSS of Central Ohio - ADAMH Housing Program - ES,1578,4,LSS Faith Mission of Fairfield County,456,zzFairfield - LSS of Central Ohio - ADAMH Housing Program - ES
LSS Faith Mission of Fairfield County,6,Fairfield - LSS of Fairfield County - ADAMH Housing Program - TH,1758,4,LSS Faith Mission of Fairfield County,517,Fairfield - LSS of Fairfield County - ADAMH Housing Program - TH
LSS Faith Mission of Fairfield County,6,Fairfield - LSS of Fairfield County - Female Sober Housing - not homeless dedicated,1882,4,LSS Faith Mission of Fairfield County,578,Fairfield - LSS of Fairfield County - Female Sober Housing - not homeless dedicated
LSS Faith Mission of Fairfield County,6,Fairfield - LSS of Fairfield County - Promise House - not homeless dedicated,1883,4,LSS Faith Mission of Fairfield County,579,Fairfield - LSS of Fairfield County - Promise House - not homeless dedicated
LSS Faith Mission of Fairfield County,6,Fairfield - LSS of Fairfield County - Faith Mission - ES,25,4,LSS Faith Mission of Fairfield County,6,Fairfield - LSS of Fairfield County - Faith Mission - ES
LSS Faith Mission of Fairfield County,6,Fairfield - LSS of Fairfield County - Fairhaven Place - PSH,26,4,LSS Faith Mission of Fairfield County,7,Fairfield - LSS of Fairfield County - Fairhaven Place - PSH
LSS Faith Mission of Fairfield County,6,Fairfield - LSS of Fairfield County - Shelter Plus Care for Singles - PSH,692,4,LSS Faith Mission of Fairfield County,131,Fairfield - LSS of Fairfield County - Shelter Plus Care for Singles - PSH
LSS Faith Mission of Fairfield County,6,Fairfield - LSS of Fairfield County - HCHV 90 Day - ES - VET,704,4,LSS Faith Mission of Fairfield County,132,Fairfield - LSS of Fairfield County - HCHV 90 Day - ES - VET
LSS Faith Mission of Fairfield County,6,Fairfield - LSS of Fairfield County - Art Kiefer Veterans House - GPD - TH - VET,776,4,LSS Faith Mission of Fairfield County,172,Fairfield - LSS of Fairfield County - Art Kiefer Veterans House - GPD - TH - VET
Center for Individual and Family Services,60,zzRichland - Center for Individuals and Family Services - Next Step - TH,104,15,Center for Individual and Family Services,22,zzRichland - Center for Individuals and Family Services - Next Step - TH
Center for Individual and Family Services,60,Richland - Center for Individual and Family Services - Next Step - PSH,1673,15,Center for Individual and Family Services,483,Richland - Center for Individual and Family Services - Next Step - PSH
The Domestic Violence Shelter,615,Richland - The Domestic Violence Shelter - ES - DV,616,92,The Domestic Violence Shelter,130,Richland - The Domestic Violence Shelter - ES - DV
HHWP Community Action Commission,618,Hancock - HHWP Community Action Commission - Youth Targeted RRH,2101,93,HHWP Community Action Commission,738,Hancock - HHWP Community Action Commission - Youth Targeted RRH
HHWP Community Action Commission,618,Hancock - HHWP Community Action Commission - HCRP RRH,911,93,HHWP Community Action Commission,215,Hancock - HHWP Community Action Commission - HCRP RRH
HHWP Community Action Commission,618,Hancock - HHWP Community Action Commission - HCRP HP,912,93,HHWP Community Action Commission,216,Hancock - HHWP Community Action Commission - HCRP HP
Family Abuse Shelter of Miami County Inc.,62,zzShelby - Family Abuse Shelter of Miami County - HCRP RRH,1676,16,Family Abuse Shelter of Miami County Inc.,484,zzShelby - Family Abuse Shelter of Miami County - HCRP RRH
Family Abuse Shelter of Miami County Inc.,62,Shelby - Family Abuse Shelter of Miami County - HCRP HP,1677,16,Family Abuse Shelter of Miami County Inc.,485,Shelby - Family Abuse Shelter of Miami County - HCRP HP
Family Abuse Shelter of Miami County Inc.,62,Miami - Family Abuse Shelter of Miami County - Family - RRH,1678,16,Family Abuse Shelter of Miami County Inc.,486,Miami - Family Abuse Shelter of Miami County - Family - RRH
Family Abuse Shelter of Miami County Inc.,62,Miami - Family Abuse Shelter of Miami County - Family Abuse Shelter - PSH,1679,16,Family Abuse Shelter of Miami County Inc.,487,Miami - Family Abuse Shelter of Miami County - Family Abuse Shelter - PSH
Family Abuse Shelter of Miami County Inc.,62,Miami - Family Abuse Shelter of Miami County - Region 13 Targeted RRH,1877,16,Family Abuse Shelter of Miami County Inc.,573,Miami - Family Abuse Shelter of Miami County - Region 13 Targeted RRH
Family Abuse Shelter of Miami County Inc.,62,Miami - Family Abuse Shelter of Miami County - ES Overflow,2132,16,Family Abuse Shelter of Miami County Inc.,751,Miami - Family Abuse Shelter of Miami County - ES Overflow
Family Abuse Shelter of Miami County Inc.,62,Miami - Family Abuse Shelter of Miami County - OHFA ERA - not homeless dedicated,2133,16,Family Abuse Shelter of Miami County Inc.,752,Miami - Family Abuse Shelter of Miami County - OHFA ERA - not homeless dedicated
Family Abuse Shelter of Miami County Inc.,62,Miami - Family Abuse Shelter of Miami County - ESG-CV RRH,2200,16,Family Abuse Shelter of Miami County Inc.,819,Miami - Family Abuse Shelter of Miami County - ESG-CV RRH
Family Abuse Shelter of Miami County Inc.,62,Miami - Family Abuse Shelter of Miami County - Buckeye House - ES,64,16,Family Abuse Shelter of Miami County Inc.,16,Miami - Family Abuse Shelter of Miami County - Buckeye House - ES
Family Abuse Shelter of Miami County Inc.,62,Miami - Family Abuse Shelter of Miami County - Franklin House - ES- DV,65,16,Family Abuse Shelter of Miami County Inc.,17,Miami - Family Abuse Shelter of Miami County - Franklin House - ES- DV
Family Abuse Shelter of Miami County Inc.,62,zzMiami - Family Abuse Shelter of Miami County - Transitional Housing Renewal - TH,67,16,Family Abuse Shelter of Miami County Inc.,18,zzMiami - Family Abuse Shelter of Miami County - Transitional Housing Renewal - TH
Family Abuse Shelter of Miami County Inc.,62,Miami - Family Abuse Shelter of Miami County - HCRP RRH,917,16,Family Abuse Shelter of Miami County Inc.,219,Miami - Family Abuse Shelter of Miami County - HCRP RRH
Family Abuse Shelter of Miami County Inc.,62,Miami - Family Abuse Shelter of Miami County - HCRP HP,918,16,Family Abuse Shelter of Miami County Inc.,220,Miami - Family Abuse Shelter of Miami County - HCRP HP
"zzAdams - Adams Brown Counties Economic Opportunities, Inc.",620,zzAdams - Adams Brown Counties Economic Opportunities - HCRP RRH,984,94,"zzAdams - Adams Brown Counties Economic Opportunities, Inc.",271,zzAdams - Adams Brown Counties Economic Opportunities - HCRP RRH
"zzAdams - Adams Brown Counties Economic Opportunities, Inc.",620,zzAdams - Adams Brown Counties Economic Opportunities - HCRP HP,985,94,"zzAdams - Adams Brown Counties Economic Opportunities, Inc.",272,zzAdams - Adams Brown Counties Economic Opportunities - HCRP HP
"Pickaway County Community Action Organization, Inc.",63,Pickaway - Pickaway County CAO - Pickaway County GPD - TH,127,17,"Pickaway County Community Action Organization, Inc.",35,Pickaway - Pickaway County CAO - Pickaway County GPD - TH
"Pickaway County Community Action Organization, Inc.",63,zzPickaway - Pickaway County CAO - Direct Housing Program - DH,544,17,"Pickaway County Community Action Organization, Inc.",121,zzPickaway - Pickaway County CAO - Direct Housing Program - DH
"Pickaway County Community Action Organization, Inc.",63,Pickaway - Pickaway County CAO - VA HCHV 90 day - ES - VET,748,17,"Pickaway County Community Action Organization, Inc.",154,Pickaway - Pickaway County CAO - VA HCHV 90 day - ES - VET
